MONTH,AIRLINE,STATE,total_voos,total_atrasados
3,AS,AZ,277,21
3,AS,CA,3024,297
3,AS,CO,145,5
3,AS,FL,124,19
3,AS,GA,31,2
3,AS,HI,786,133
3,AS,IL,158,22
3,AS,LA,31,1
3,AS,MA,119,10
3,AS,MD,31,8
3,AS,MI,31,0
3,AS,MN,54,3
3,AS,MO,62,5
3,AS,NJ,58,8
3,AS,NM,31,2
3,AS,NV,405,49
3,AS,OR,1141,132
3,AS,PA,30,3
3,AS,TX,213,30
3,AS,UT,189,21
3,AS,VA,144,11
3,AS,WA,4746,621
3,B6,AZ,62,19
3,B6,CA,1805,378
3,B6,CO,88,36
3,B6,CT,322,67
3,B6,FL,5439,1608
3,B6,GA,89,27
3,B6,IL,179,58
3,B6,LA,98,26
3,B6,MA,3626,758
3,B6,MD,144,26
3,B6,ME,87,16
3,B6,MI,89,19
3,B6,NC,353,81
3,B6,NJ,599,126
3,B6,NM,21,7
3,B6,NV,334,80
3,B6,NY,5053,1309
3,B6,OR,79,11
3,B6,PA,286,57
3,B6,PR,1057,258
3,B6,RI,93,20
3,B6,SC,156,29
3,B6,TX,345,102
3,B6,UT,124,34
3,B6,VA,1237,208
3,B6,VI,128,31
3,B6,VT,88,12
3,B6,WA,151,50
3,DL,AK,111,17
3,DL,AL,518,64
3,DL,AR,211,25
3,DL,AZ,820,88
3,DL,CA,3913,642
3,DL,CO,774,120
3,DL,CT,329,31
3,DL,FL,7781,1134
3,DL,GA,21239,3165
3,DL,HI,418,79
3,DL,IA,90,7
3,DL,ID,114,3
3,DL,IL,842,160
3,DL,IN,415,49
3,DL,KS,72,9
3,DL,KY,989,91
3,DL,LA,884,149
3,DL,MA,1446,274
3,DL,MD,631,89
3,DL,ME,31,3
3,DL,MI,4811,748
3,DL,MN,4859,630
3,DL,MO,844,93
3,DL,MS,228,28
3,DL,MT,242,12
3,DL,NC,1275,145
3,DL,ND,89,4
3,DL,NE,174,9
3,DL,NH,31,1
3,DL,NJ,412,54
3,DL,NM,62,6
3,DL,NV,1057,132
3,DL,NY,5273,1532
3,DL,OH,755,87
3,DL,OK,178,19
3,DL,OR,448,57
3,DL,PA,989,132
3,DL,PR,291,57
3,DL,RI,88,8
3,DL,SC,535,30
3,DL,SD,31,0
3,DL,TN,955,150
3,DL,TX,1724,234
